Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S001906,Gràcia,la Vila de Gràcia,Trav Gràcia,Wednesday,March,8,18,Afternoon,0,0,0,2,2.157475,41.401164
2017S001945,Gràcia,la Vila de Gràcia,Av Diagonal,Thursday,March,9,13,Morning,1,0,1,1,2.1567369999999997,41.396083000000004
2017S000383,Gràcia,la Vila de Gràcia,Av Diagonal,Sunday,January,15,1,Night,1,0,1,2,2.1559049999999997,41.395872
2017S006661,Gràcia,la Vila de Gràcia,Sant Domènec / Sant Pere Màrtir,Tuesday,August,1,14,Afternoon,1,0,1,2,2.156772,41.399998
2017S002259,Gràcia,la Vila de Gràcia,Còrsega,Tuesday,March,21,10,Morning,1,0,1,2,2.1598919999999997,41.397084
2017S005790,Gràcia,la Vila de Gràcia,Diluvi / Martínez de la Rosa,Tuesday,July,4,8,Morning,1,0,1,2,2.158433,41.400386
2017S009989,Gràcia,la Vila de Gràcia,Augusta / Comte de Salvatierra,Thursday,November,30,13,Morning,1,0,1,2,2.1549669999999996,41.396739000000004
2017S009061,Gràcia,El Camp d'en Grassot I Gràcia Nova,Encarnació,Thursday,November,2,17,Afternoon,1,0,1,2,2.161913,41.407478999999995
2017S003225,Gràcia,El Camp d'en Grassot I Gràcia Nova,Providència / Ca l'Alegre de Dalt,Friday,April,7,12,Morning,1,0,1,2,2.161206,41.409054
2017S008435,Gràcia,la Vila de Gràcia,Gràcia / Sant Joan,Friday,October,13,13,Morning,1,0,1,2,2.162834,41.404505
2017S009413,Gràcia,El Camp d'en Grassot I Gràcia Nova,Rosselló / Sant Joan,Monday,November,13,16,Afternoon,1,0,1,2,2.1675020000000003,41.400966
2017S007639,Gràcia,El Camp d'en Grassot I Gràcia Nova,Sant Joan / Sant Antoni Maria Claret,Friday,September,15,12,Morning,1,0,1,1,2.164151,41.403506
2017S010505,Gràcia,El Camp d'en Grassot I Gràcia Nova,Còrsega / Nàpols,Tuesday,December,19,14,Afternoon,1,0,1,2,2.1686389999999998,41.403535999999995
2017S005414,Gràcia,El Camp d'en Grassot I Gràcia Nova,Nàpols,Tuesday,June,20,20,Afternoon,1,0,1,1,2.169032,41.403095
